Pedido,Cantidad,Transaccion
000-CHANCLETA DELISODA 24 UN,3,1
99000-ENVASE DELI VID 250*24,3,1
ENVASE PURE WATER 20000 MLx1,6,1
99000-ENVASE DELI VID 250*242,3,1
20000 ML PET AGUA SIN GAS,9,1
ENERGIZANTE 330ML PET X 24,12,2
99000-GUITIG PET 1500*12,6,2
1000 ML PET X 12,1,2
TEMPORAL1596,1,2
ENERGIZANTE 330ML PET X 24,18,2
99000-PET 400*24,6,2
MODIF COCOA FUNDA,6,3
MODIF COCOA FUNDA,6,3
CONFITERIA CHUPETE FUNDA,2,3
GALLETA RECUBIERTAS FUNDA,2,3
ENERGIZANTE 330ML PET X 24,10,3
TEMPORAL1596,1,3
TEMPORAL1596,1,4
ENERGIZANTE 330ML PET X 24,12,4
10- 750 ML PET,12,4
20000 ML PET AGUA SIN GAS,8,4
99000-GATORADE VID 473*24,12,4
99000-TESALIA BOTELLON,2,4
99000-GATORADE VID 473*24,12,4
10- 750 ML PET,1,4
20000 ML PET AGUA SIN GAS,3,5
PURE WATER 500 ML PET X 30 NUEVA IMAGEN,56,5
99000-GATORADE VID 473*24,4,5
99000-GATORADE VID 473*24,4,5
20000 ML PET AGUA SIN GAS,8,5
20000 ML PET AGUA SIN GAS,8,5
99000-ENVASE DELI VID 250*24,2,5
000-CHANCLETA DELISODA 24 UN,2,5
000-CHANCLETA DELISODA 24 UN,2,6
000-CHANCLETA DELISODA 24 UN,2,6
20000 ML PET AGUA SIN GAS,3,6
99000-TESALIA BOTELLON,3,6
99000-GATORADE VID 473*24,12,6
99829-CSD 1.25 LITROS PET,6,6
GALLETA SAL/DULCE TACO,6,7
GALLETA RECUBIERTAS FUNDA,3,7
20000 ML PET AGUA SIN GAS,9,7
355 ML PET BELLY WASHER *24,12,8
1500 ML PET CARBONATADA * 12,6,8
99829-CSD 1.25 LITROS PET,6,8
PURE WATER 500 ML PET X 30 NUEVA IMAGEN,24,8
1500 ML PET CARBONATADA * 12,6,9
99000-GUITIG PET 1500*12,6,9
1500 ML PET CARBONATADA * 12,6,9
PURE WATER 500 ML PET X 30 NUEVA IMAGEN,15,9
99000-GUITIG PET 500*24,12,9
355 ML PET BELLY WASHER *24,1,9
355 ML PET BELLY WASHER *24,1,10
PURE WATER 500 ML PET X 30 NUEVA IMAGEN,45,10
1500 ML PET CARBONATADA * 12,2,10
1500 ML PET CARBONATADA * 12,2,10
MODIF COCOA DISPLAY,6,10
MODIF COCOA DISPLAY,6,10
99000-GUITIG PET 500*24,1,10
CSD 2500 ML PET,1,11
CSD 2500 ML PET,1,11
CSD 355 ML PET X 24,12,11
355 ML PET BELLY WASHER *24,1,11
1500 ML PET CARBONATADA * 12,6,11
AGUA PURA 625 ML PET x 30 UNIDADES,15,11
99000-GATORADE VID 473*24,12,11
99000-GUITIG PET 500*24,12,11
1500 ML PET CARBONATADA * 12,6,11
GALLETA RECUBIERTAS FUNDA,2,12
AGUA PURA 625 ML PET x 30 UNIDADES,63,12
AGUA PURA 625 ML PET x 30 UNIDADES,3,12
